date,close
01-01-2023,105.4
02-01-2023,109.55
03-01-2023,146.23
04-01-2023,107.04
05-01-2023,121.07
06-01-2023,131.96
07-01-2023,121.85
08-01-2023,108.34
09-01-2023,131.72
10-01-2023,151.39
11-01-2023,159.01
12-01-2023,108.23
13-01-2023,148.76
14-01-2023,125.75
15-01-2023,139.45
16-01-2023,119.07
17-01-2023,131.84
18-01-2023,104.76
19-01-2023,147.84
20-01-2023,145.23
21-01-2023,129.9
22-01-2023,142.76
23-01-2023,111.68
24-01-2023,121.67
25-01-2023,160.42
26-01-2023,128.14
27-01-2023,108.27
28-01-2023,135.99
29-01-2023,147.01
30-01-2023,115.54
31-01-2023,129.41
01-02-2023,149.65
02-02-2023,140.02
03-02-2023,133.49
04-02-2023,171.45
05-02-2023,135.52
06-02-2023,158.37
07-02-2023,137.51
08-02-2023,147.81
09-02-2023,149.62
10-02-2023,132.37
11-02-2023,167.77
12-02-2023,188.06
13-02-2023,115.53
14-02-2023,148.76
15-02-2023,151.61
16-02-2023,158.7
17-02-2023,140.61
18-02-2023,139.72
19-02-2023,197.85
20-02-2023,133.06
21-02-2023,165.66
22-02-2023,131.2
23-02-2023,172.58
24-02-2023,151.1
25-02-2023,146.13
26-02-2023,166.39
27-02-2023,137.55
28-02-2023,188.97
01-03-2023,169.37
02-03-2023,162.86
03-03-2023,157.57
04-03-2023,134.68
05-03-2023,119.59
06-03-2023,183.54
07-03-2023,172.79
08-03-2023,164.24
09-03-2023,185.79
10-03-2023,188.25
11-03-2023,170.9
12-03-2023,167.58
13-03-2023,189.64
14-03-2023,159.98
15-03-2023,170.56
16-03-2023,182.31
17-03-2023,139.29
18-03-2023,135.41
19-03-2023,153.86
20-03-2023,110.19
21-03-2023,128.01
22-03-2023,184.83
23-03-2023,164.52
24-03-2023,154.6
25-03-2023,158.26
26-03-2023,109.85
27-03-2023,143.56
28-03-2023,132.72
29-03-2023,156.33
30-03-2023,118.31
31-03-2023,165.87
01-04-2023,170.59
02-04-2023,144.96
03-04-2023,156.1
04-04-2023,118.88
05-04-2023,213.16
06-04-2023,157.68
07-04-2023,112.3
08-04-2023,157.69
09-04-2023,144.85
10-04-2023,146.4
